"ShapeFactor1","ShapeFactor2","TrueClass","ClusterClass"
0.797656384789317,0.606524907034074,"DERMASON","DERMASON"
0.577026211559352,0.63991967906446,"DERMASON","DERMASON"
0.621430047628584,0.420292916562272,"DERMASON","DERMASON"
0.6829640512352,0.441436212236987,"DERMASON","DERMASON"
0.617628017005267,0.5418753657914,"DERMASON","DERMASON"
0.635029589465698,0.493768541379895,"DERMASON","DERMASON"
0.507153563791632,0.546977659365554,"DERMASON","DERMASON"
0.867587698976797,0.569387001238768,"DERMASON","DERMASON"
0.66879894065444,0.418671534388194,"DERMASON","DERMASON"
0.104597203959631,0.0491129083589356,"BOMBAY","BOMBAY"
0.66055333467379,0.588254623482296,"DERMASON","DERMASON"
0.655686743077467,0.480655746869874,"DERMASON","DERMASON"
0.64756084092948,0.478211543212723,"DERMASON","DERMASON"
0.505246726636496,0.495676536187565,"DERMASON","DERMASON"
0.545342437391775,0.574157669451973,"DERMASON","DERMASON"
0.643136452345771,0.530128933543543,"DERMASON","DERMASON"
0.702081007494287,0.537523127755435,"DERMASON","DERMASON"
0.591586009112069,0.553002877509968,"DERMASON","DERMASON"
0.709796562384192,0.72019448666147,"DERMASON","DERMASON"
0.643477636502396,0.654015596426911,"DERMASON","DERMASON"
0.710544073704794,0.594155953248653,"DERMASON","DERMASON"
0.588419898952852,0.56084648721813,"DERMASON","DERMASON"
0.67294177345197,0.542997765687311,"DERMASON","DERMASON"
0.660446689545152,0.47474599203239,"DERMASON","DERMASON"
0.738253208579986,0.634803251196664,"DERMASON","DERMASON"
0.61177635317336,0.567339559996374,"DERMASON","DERMASON"
0.60385145559391,0.561561323720066,"DERMASON","DERMASON"
0.0655050562112394,0.100484978955369,"BOMBAY","BOMBAY"
0.597084388440479,0.577023995739161,"DERMASON","DERMASON"
0.84596920948447,0.559318680843862,"DERMASON","DERMASON"
0.709069454009252,0.656291044593831,"DERMASON","DERMASON"
0.762578682717444,0.709896675596166,"DERMASON","DERMASON"
0.656068556858363,0.458503565539758,"DERMASON","DERMASON"
0.701530860469404,0.478205413667544,"DERMASON","DERMASON"
0.0494358279675387,0.047951892087595,"BOMBAY","BOMBAY"
0.0881473725483558,0.111025777276293,"BOMBAY","BOMBAY"
0.104199324874622,0.101754658662913,"BOMBAY","BOMBAY"
0.627796641150867,0.433149207279986,"DERMASON","DERMASON"
0.661107618563731,0.652852872865953,"DERMASON","DERMASON"
0.686009782618428,0.564354097352857,"DERMASON","DERMASON"
0.546306615860397,0.593879969917685,"DERMASON","DERMASON"
0.603256244994881,0.536465857760533,"DERMASON","DERMASON"
0.658621600323042,0.522746091043806,"DERMASON","DERMASON"
0.58518531906532,0.367144878864526,"DERMASON","DERMASON"
0.632229990602267,0.56394706903345,"DERMASON","DERMASON"
0.573648280354497,0.451685251258525,"DERMASON","DERMASON"
0.674323817535653,0.565869303782862,"DERMASON","DERMASON"
0.634981455309375,0.472634540991996,"DERMASON","DERMASON"
0.0998789263048517,0.000970211066554763,"BOMBAY","BOMBAY"
0.667645690049229,0.480974184165263,"DERMASON","DERMASON"
0.562824651094945,0.555996401297613,"DERMASON","DERMASON"
0.59242522923997,0.461649393354345,"DERMASON","DERMASON"
0.802618227632986,0.712154623703264,"DERMASON","DERMASON"
0.107316049197175,0.0589748578261886,"BOMBAY","BOMBAY"
0.130585418254054,0.0910670184426089,"BOMBAY","BOMBAY"
0.630964033455892,0.636348537323294,"DERMASON","DERMASON"
0.648600284231103,0.472998759869588,"DERMASON","DERMASON"
0.580493929219558,0.591101732979242,"DERMASON","DERMASON"
0.592342574281979,0.465894876439029,"DERMASON","DERMASON"
0.126615062887508,0.0470976280822654,"BOMBAY","BOMBAY"
0.633959744767541,0.607675355962622,"DERMASON","DERMASON"
0.569068255504057,0.343625291117438,"DERMASON","DERMASON"
0.581826928730213,0.584573180097267,"DERMASON","DERMASON"
0.604066458457457,0.459549872047007,"DERMASON","DERMASON"
0.530999320970501,0.570960068073208,"DERMASON","DERMASON"
0.605473375018903,0.413400686460763,"DERMASON","DERMASON"
0.583432154939132,0.670958396658908,"DERMASON","DERMASON"
0.70737517920155,0.555971565423674,"DERMASON","DERMASON"
0.502228294883648,0.543964962882683,"DERMASON","DERMASON"
0.081063559400346,0.0541572591583725,"BOMBAY","BOMBAY"
0.631981473561319,0.493025329538549,"DERMASON","DERMASON"
0.57414218471764,0.481646522149604,"DERMASON","DERMASON"
0.819909211799479,0.523687508333714,"DERMASON","DERMASON"
0.641580996137516,0.500269375443148,"DERMASON","DERMASON"
0.791089679747698,0.706740487675942,"DERMASON","DERMASON"
0.546917876382385,0.547602690677559,"DERMASON","DERMASON"
0.621943316169606,0.346888563062342,"DERMASON","DERMASON"
0.719533974319935,0.513269864089763,"DERMASON","DERMASON"
0.617744948691114,0.353218047686274,"DERMASON","DERMASON"
0.599241559966619,0.730592475386081,"DERMASON","DERMASON"
0.697411040716617,0.708455124496818,"DERMASON","DERMASON"
0.624829858176752,0.454455392608493,"DERMASON","DERMASON"
0.617374362167983,0.452401369199847,"DERMASON","DERMASON"
0.5627821424389,0.425126685082922,"DERMASON","DERMASON"
0.707377073953994,0.582913322926837,"DERMASON","DERMASON"
0.703546153407718,0.545895534623798,"DERMASON","DERMASON"
0.659056236963652,0.622585633364622,"DERMASON","DERMASON"
0.724192892060875,0.536347647767086,"DERMASON","DERMASON"
0.7191257136963,0.435039363341741,"DERMASON","DERMASON"
0.771820332498022,0.559834652260338,"DERMASON","DERMASON"
0.798448629193388,0.792337655804814,"DERMASON","DERMASON"
0.705266950210114,0.662111225952006,"DERMASON","DERMASON"
0.558367529329505,0.632987933079155,"DERMASON","DERMASON"
0.682973890811426,0.802512175689931,"DERMASON","DERMASON"
0.686247076201549,0.687786117484757,"DERMASON","DERMASON"
0.526300521060501,0.457472496936677,"DERMASON","DERMASON"
0.624255980302845,0.514987204305384,"DERMASON","DERMASON"
0.0851496129654682,0.0576395596775,"BOMBAY","BOMBAY"
0.615808074128678,0.625909299715997,"DERMASON","DERMASON"
0.613632015065147,0.533698674933733,"DERMASON","DERMASON"
0.0857429193027834,0.111307731887776,"BOMBAY","BOMBAY"
0.735415769895476,0.655487705613247,"DERMASON","DERMASON"
0.55032015754111,0.370137514997347,"DERMASON","DERMASON"
0.675550685825495,0.61887088889634,"DERMASON","DERMASON"
0.608605935622652,0.427389003697877,"DERMASON","DERMASON"
0.61991541785815,0.536039426428739,"DERMASON","DERMASON"
0.606954489953399,0.497649515393448,"DERMASON","DERMASON"
0.0971932928622321,0.0589564857456547,"BOMBAY","BOMBAY"
0.665293474160727,0.555502366076418,"DERMASON","DERMASON"
0.0865120979945971,0.0353885040064118,"BOMBAY","BOMBAY"
0.644399995292694,0.505365376888863,"DERMASON","DERMASON"
0.109864760689308,0.0376625705339025,"BOMBAY","BOMBAY"
0.082947849844262,0.125478551390659,"BOMBAY","BOMBAY"
0.757728929924357,0.734392594359857,"DERMASON","DERMASON"
0.827670372442417,0.837223022715803,"DERMASON","DERMASON"
0.662836715306785,0.560708930549001,"DERMASON","DERMASON"
0.542485908898153,0.462382985165021,"DERMASON","DERMASON"
0.740222604759918,0.481805310844414,"DERMASON","DERMASON"
0.670249466434776,0.492955288267647,"DERMASON","DERMASON"
0.128101808222391,0.210066370210452,"BOMBAY","BOMBAY"
0.681440623026808,0.540889739921847,"DERMASON","DERMASON"
0.531792969679435,0.587841363424336,"DERMASON","DERMASON"
0.559893979829944,0.476702557317166,"DERMASON","DERMASON"
0.808209849954814,0.72429744760409,"DERMASON","DERMASON"
0.0930270062731599,0.028047025320452,"BOMBAY","BOMBAY"
0.542469943275061,0.515998211368296,"DERMASON","DERMASON"
0.611139556863517,0.507228893543345,"DERMASON","DERMASON"
0.590903216232898,0.384455802433005,"DERMASON","DERMASON"
0.0816676666042015,0.112843686306525,"BOMBAY","BOMBAY"
0.812933566665561,0.466455396814805,"DERMASON","DERMASON"
0.511771517799337,0.469103876276387,"DERMASON","DERMASON"
0.835384042168274,0.476443861749654,"DERMASON","DERMASON"
0.586706993039218,0.438519923997184,"DERMASON","DERMASON"
0.0977100732632955,0.149552918888453,"BOMBAY","BOMBAY"
0.526893493507458,0.584481914671444,"DERMASON","DERMASON"
