"EquivDiameter","Extent","Solidity","roundness","Compactness","ShapeFactor4"
0.0394093763738366,0.440527470223021,0.886517067574715,0.878149143872354,0.487922468461275,0.953075874728084
0.108743316814759,0.638961832590836,0.883881158511662,0.950397087624128,0.735120388377073,0.944699639074787
0.130223703602384,0.435468485497141,0.83878333480509,0.834269091488754,0.394096646695492,0.839057252156478
0.102622278017031,0.797395411661152,0.900962388133117,0.845699672355726,0.369275210059068,0.942462811553909
0.108500510938944,0.824005045858882,0.902094394537067,0.898042508604693,0.569126602788543,0.919557635597158
0.110364082886492,0.834305371338109,0.918276084309584,0.900987342425337,0.487261646756964,0.937928932716785
0.154828521413924,0.770922179523231,0.931354883240515,0.965071550234736,0.69398991996422,0.951115293851402
0.0257085142143391,0.722015419665938,0.844661729648537,0.82820648279757,0.38841762501463,0.960169229838659
0.112348868394705,0.806346442204908,0.833381791852955,0.795533727150836,0.348308210910687,0.832311156295924
0.763298724878544,0.492486329992743,0.854316018337395,0.740213157259123,0.229919292481519,0.743568995221324
0.0851686997251796,0.881695128020356,0.812290498326916,0.873106066832279,0.586865622404787,0.884695122189923
0.105050644630963,0.376242910383247,0.922319463820449,0.878185700220059,0.449659137568129,0.939960397425249
0.108523278962821,0.734496677904688,0.91503237010258,0.887669958207162,0.453791200834381,0.943530978521939
0.165702204207216,0.526255617571056,0.91234733617621,0.910477019960575,0.624893248823409,0.953418948717283
0.132604723437121,0.448577622746646,0.87353885778851,0.845635825050711,0.686999915190762,0.914591649280453
0.100876047370044,0.777600388577788,0.886829775022902,0.878627335490564,0.528752846618735,0.93995990287437
0.0789206337970569,0.547545404064698,0.906041654217667,0.900465717051305,0.48401290074684,0.956209418936786
0.116855559549689,0.618202225132025,0.907594466513625,0.923559439027607,0.610076282237375,0.980122182289015
0.0508094612757518,0.713785604229998,0.845331632014914,0.918185637294003,0.694466968281824,0.95883677021518
0.0815580049493304,0.647392199413442,0.924774713896379,0.942514170818854,0.683193594448852,0.946536571661196
0.0674118963884375,0.721338009933104,0.860921172786195,0.890202648053423,0.547831691049681,0.965719236440079
0.116795830882376,0.576718441680449,0.895051246720635,0.92528330651468,0.623611665160416,0.92842995236929
0.0879935229493608,0.380154239331918,0.888867268982206,0.909114986744296,0.517613187197154,0.924429132363536
0.104400663747886,0.491231824564351,0.720918409438578,0.694717298803041,0.437008995799993,0.766239722502997
0.0529813273511992,0.770337155570766,0.850957308458405,0.89890234422222,0.571830645545073,0.930233651975649
0.106485257652315,0.799634964303085,0.891139327137531,0.908655427412946,0.608168942855668,0.931674283671925
0.110530409185823,0.691972811354245,0.878160029989803,0.895243903620141,0.608712469019836,0.92427811969105
0.784005297305797,0.721482705110019,0.915226921705295,0.85244055561461,0.486116284472984,0.862080537234614
0.110636224712447,0.798699036128778,0.920313451161857,0.927519689349437,0.635571066772184,0.935452480534641
0.0327612320373227,0.706494936902085,0.905954388065359,0.863925297644224,0.392552582680776,0.84145472795797
0.0591907398211176,0.722190763750427,0.866958598222152,0.909289431251839,0.623158972801624,0.857561892698949
0.0362399170771631,0.590651106655828,0.86986787914895,0.922647921481885,0.635365343550453,0.908565857527093
0.109099725948257,0.510677225023874,0.894000584446677,0.871596641619182,0.41802221108461,0.886205603442792
0.0892340664355455,0.670892063466497,0.847583006727397,0.822563232928498,0.405030591989008,0.877218820949623
0.879438039176929,0.925992366363486,0.713793765363758,0.761083345570369,0.338814966900429,0.592497300624669
0.729318266983826,0.783495436640864,0.944250651907041,0.814100272522887,0.47051383652831,0.86552987406127
0.708638407641361,0.803764494780305,0.91696038318785,0.813535710223054,0.408665983970992,0.771174468917544
0.124988242276056,0.632985251260774,0.898268375719129,0.867218164920119,0.407339842040121,0.943034664314157
0.0755462955894178,0.522711829033203,0.89538271234441,0.939906326945712,0.664491574693395,0.922589577116571
